county,fips,date_local,ozone_avg
Bell,48027,2018-12-22,43
Bell,48027,2018-12-23,34
Bell,48027,2018-12-24,33
Bell,48027,2018-12-25,29
Bell,48027,2018-12-26,33
Bell,48027,2018-12-27,33
Bell,48027,2018-12-28,25
Bell,48027,2018-12-29,23
Bell,48027,2018-12-30,19
Bell,48027,2018-12-31,28
Bell,48027,2019-01-01,17
Bell,48027,2019-01-02,13
Bell,48027,2019-01-03,22
Bell,48027,2019-01-04,36
Bell,48027,2019-01-05,42
Bell,48027,2019-01-06,43
Bell,48027,2019-01-07,31
Bell,48027,2019-01-08,35
Bell,48027,2019-01-09,37
Bell,48027,2019-01-10,37
Bell,48027,2019-01-11,35
Bell,48027,2019-01-12,26
Bell,48027,2019-01-13,31
Bell,48027,2019-01-14,23
Bell,48027,2019-01-15,21
Bell,48027,2019-01-16,20
Bell,48027,2019-01-17,31
Bell,48027,2019-01-18,24
Bell,48027,2019-01-19,29
Bell,48027,2019-01-20,38
Bell,48027,2019-01-21,43
Bell,48027,2019-01-22,34
Bell,48027,2019-01-23,37
Bell,48027,2019-01-24,37
Bell,48027,2019-01-25,33
Bell,48027,2019-01-26,33
Bell,48027,2019-01-27,44
Bell,48027,2019-01-28,46
Bell,48027,2019-01-29,38
Bell,48027,2019-01-30,40
Bell,48027,2019-01-31,30
Bell,48027,2019-02-01,33
Bell,48027,2019-02-02,34
Bell,48027,2019-02-03,37
Bell,48027,2019-02-04,30
Bell,48027,2019-02-05,33
Bell,48027,2019-02-06,28
Bell,48027,2019-02-07,25
Bell,48027,2019-02-08,28
Bell,48027,2019-02-09,29
Bell,48027,2019-02-10,18
Bell,48027,2019-02-11,20
Bell,48027,2019-02-12,38
Bell,48027,2019-02-13,39
Bell,48027,2019-02-14,48
Bell,48027,2019-02-15,40
Bell,48027,2019-02-16,24
Bell,48027,2019-02-17,38
Bell,48027,2019-02-18,32
Bell,48027,2019-02-19,27
Bell,48027,2019-02-20,43
Bell,48027,2019-02-21,29
Bell,48027,2019-02-22,21
Bell,48027,2019-02-23,52
Bell,48027,2019-02-24,49
Bell,48027,2019-02-25,46
Bell,48027,2019-02-26,31
Bell,48027,2019-02-27,31
Bell,48027,2019-02-28,25
Bell,48027,2019-03-01,18
Bell,48027,2019-03-02,13
Bell,48027,2019-03-03,35
Bell,48027,2019-03-04,39
Bell,48027,2019-03-05,46
Bell,48027,2019-03-06,53
Bell,48027,2019-03-07,45
Bell,48027,2019-03-08,38
Bell,48027,2019-03-09,52
Bell,48027,2019-03-10,36
Bell,48027,2019-03-11,27
Bell,48027,2019-03-12,23
Bell,48027,2019-03-13,53
Bell,48027,2019-03-14,49
Bell,48027,2019-03-15,49
Bell,48027,2019-03-16,54
Bell,48027,2019-03-17,59
Bell,48027,2019-03-18,56
Bell,48027,2019-03-19,62
Bell,48027,2019-03-20,52
Bell,48027,2019-03-21,63
Bell,48027,2019-03-22,67
Bell,48027,2019-03-23,52
Bell,48027,2019-03-24,47
Bell,48027,2019-03-25,61
Bell,48027,2019-03-26,55
Bell,48027,2019-03-27,62
Bell,48027,2019-03-28,60
Bell,48027,2019-03-29,49
Bell,48027,2019-03-30,41
